OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
817,4,7,1.0,6,122400,44.36274509803921,55.63725490196079,41624.0,63.0,0,68.30000305,70.69999695,185.6000061,192.3999939,4865551.5,5034998.5,0.0,3880094.0,985457.0,79.39,0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
819,4,60,1.0,2,93803,0.0,100.0,85572.0,0.0,1,58.79999924,59.90000153,149.1000061,150.3999939,5453438.5,5561522.5,0.0,3884335.0,1569103.0,110.41,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
820,3,28,1.0,1,52924,0.0,100.0,52924.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957268.0,0.0,13.64,0.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,2,50,1.0,2,123000,0.0,100.0,112484.0,47.0,0,21.89999962,21.89999962,68.90000153,68.90000153,3004271.0,3004271.0,0.0,3004271.0,0.0,20.94,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
861,3,13,1.0,5,275130,41.06422418493076,58.935775815069235,177748.0,70.0,0,55.90000153,55.90000153,175.6000061,175.6000061,9941308.0,9941308.0,0.0,9941307.0,0.0,69.3,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2,38,1.0,1,60448,0.0,100.0,52702.0,90.0,0,17.39999962,19.29999924,39.70000076,41.70000076,1052244.75,1167543.25,0.0,620853.0,431392.0,27.24,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
828,3,22,7.0,14,1765970,0.0,100.0,1639334.0,54.0,0,177.8999939,180.5,377.0,378.3999939,291614432.0,295929888.0,134943456.0,139354828.0,17316120.0,12307.16,6.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,7,88,3.0,4,62600,0.0,100.0,215197.0,0.0,1,51.79999924,58.70000076,93.5,100.5999985,11147342.0,12637976.0,0.0,4031128.0,7116213.0,406.04,6.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
830,3,12,1.0,4,77412,27.918152224461323,72.08184777553868,26400.0,0.0,1,58.20000076,60.09999847,180.5,186.3999939,2655387.5,2740574.75,0.0,2604783.0,50604.0,20.85,0.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
831,3,26,1.0,5,289419,54.99189756028458,45.00810243971543,146150.0,59.0,0,87.09999847,87.69999695,259.7000122,260.2999878,12731388.0,12814944.0,0.0,11761550.0,969837.0,133.5,0.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,5,29,1.0,5,90266,0.0,100.0,87552.0,18.0,0,88.80000305,90.80000305,278.7000122,285.0,7771933.5,7947933.5,0.0,7771933.0,0.0,54.18,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
